iter	AUC	Logloss
0	0.8254470072	0.6714331815
1	0.8356091956	0.6520416161
2	0.8320572869	0.6357501627
3	0.8294138409	0.6208388026
4	0.8330366894	0.6067151075
5	0.834176937	0.5926790059
6	0.8331303588	0.5809550741
7	0.8341113539	0.5691784636
8	0.8357305171	0.5583343539
9	0.8366669215	0.5489917093
10	0.8368444156	0.5399657982
11	0.8360299117	0.5329291668
12	0.8361153289	0.5248376809
13	0.8368767004	0.5174798079
14	0.8362991931	0.5116862924
15	0.8374062872	0.5050856964
16	0.8372481929	0.4996737248
17	0.8381220546	0.494199838
18	0.8377977587	0.4900681179
19	0.837704234	0.4857127293
20	0.8386400593	0.481033383
21	0.839222489	0.4765389205
22	0.8397031418	0.4733145473
23	0.8405497858	0.4694748846
24	0.8412344266	0.4658623172
25	0.8415565508	0.4625714719
26	0.8423403624	0.4595969741
27	0.8424938239	0.457066195
28	0.8431654349	0.4540292951
29	0.8431469037	0.4523307466
30	0.843509565	0.4507908536
31	0.8441171855	0.4481138915
32	0.8448931792	0.4456643102
33	0.8453309787	0.4435410152
34	0.8460322686	0.441592409
35	0.8464150536	0.4396391617
36	0.8466249773	0.4381049175
37	0.8468286756	0.436505331
38	0.8472421529	0.4351662188
39	0.8477314923	0.4336477362
40	0.8480374017	0.4323443352
41	0.8483611185	0.4311983101
42	0.8486518267	0.4299165428
43	0.8486919293	0.4288801592
44	0.8487426006	0.4284545018
45	0.8493826506	0.4270371115
46	0.8497075256	0.4259599471
47	0.8500658436	0.4250199459
48	0.8503965096	0.4238900761
49	0.8505499711	0.4233307817
50	0.8507455621	0.4224097818
51	0.8508264913	0.421984726
52	0.8508086839	0.421459044
53	0.8507953647	0.4209420484
54	0.8510844802	0.4200670953
55	0.8513679496	0.4191553008
56	0.8513317559	0.4188834327
57	0.8515350199	0.4181207082
58	0.8516104477	0.4176349458
59	0.8518645277	0.416932857
60	0.8522613559	0.416181558
61	0.8526096844	0.4153981276
62	0.8529263072	0.4147428247
63	0.8531172654	0.4142007147
64	0.8532869416	0.4136908699
65	0.8535261099	0.4130517854
66	0.8537024458	0.4125390397
67	0.8537565916	0.4120526906
68	0.8538307164	0.4118276659
69	0.8540994187	0.4113710105
70	0.8542250834	0.4109115204
71	0.854669832	0.4102401311
72	0.8550210561	0.409805012
73	0.8550943122	0.4094923718
74	0.8554731883	0.4089669507
75	0.8557618695	0.4085517543
76	0.8558875342	0.4081452982
77	0.8562213852	0.4076567858
78	0.8563256232	0.4073910501
79	0.8565772421	0.4069718915
80	0.8565941807	0.4067631501
81	0.8567768867	0.4064521476
82	0.8569115274	0.4061946325
83	0.8569115274	0.4061872606
84	0.8572750574	0.405752924
85	0.8572678186	0.405638714
86	0.8573526567	0.4054261385
87	0.8574088294	0.4051421309
88	0.8575840071	0.404823449
89	0.8577871264	0.4045002013
90	0.8580034202	0.4041047363
91	0.8581893112	0.4038047467
92	0.8581865605	0.4037097743
93	0.8582586584	0.4035509369
94	0.8583384294	0.4033178467
95	0.8583697008	0.4031786838
96	0.8584349943	0.4030728467
97	0.8585568948	0.4028754252
98	0.8587285979	0.4025578676
99	0.8588403642	0.4024219096
100	0.8589228859	0.402242578
101	0.8591163053	0.4019469661
102	0.8592012881	0.4018093367
103	0.859357066	0.4015567011
104	0.859554539	0.401294184
105	0.8597302958	0.4010135245
106	0.8597065527	0.4009746573
107	0.8597647523	0.400771648
108	0.8602060263	0.4003056333
109	0.8601911145	0.4002813818
110	0.8601987876	0.4001583333
111	0.8602236889	0.4000994954
112	0.8603018674	0.3999322615
