iter	Passed	Remaining
0	19	13752
1	42	14796
2	52	12172
3	63	11124
4	80	11250
5	103	11978
6	114	11345
7	130	11324
8	147	11355
9	159	11018
10	174	10937
11	181	10398
12	193	10209
13	206	10109
14	220	10079
15	231	9875
16	248	9986
17	269	10192
18	282	10120
19	294	9996
20	306	9908
21	318	9810
22	329	9688
23	351	9910
24	368	9937
25	384	9979
26	401	10003
27	421	10127
28	441	10213
29	451	10075
30	461	9949
31	476	9940
32	494	9986
33	513	10054
34	527	10022
35	539	9957
36	556	9973
37	570	9935
38	592	10050
39	615	10150
40	630	10130
41	653	10231
42	670	10241
43	688	10263
44	692	10074
45	705	10032
46	729	10132
47	745	10128
48	789	10492
49	850	11062
50	896	11405
51	903	11263
52	919	11222
53	931	11144
54	945	11090
55	964	11097
56	971	10962
57	990	10963
58	1003	10902
59	1022	10908
60	1042	10921
61	1061	10925
62	1080	10921
63	1098	10914
64	1109	10841
65	1129	10847
66	1145	10825
67	1167	10848
68	1184	10829
69	1202	10821
70	1218	10798
71	1238	10806
72	1257	10803
73	1272	10766
74	1291	10760
75	1301	10686
76	1321	10691
77	1336	10659
78	1354	10649
79	1372	10640
80	1392	10637
81	1410	10629
82	1423	10585
83	1427	10467
84	1444	10453
85	1453	10378
86	1465	10328
87	1486	10334
88	1496	10275
89	1516	10278
90	1535	10277
91	1557	10289
92	1568	10235
93	1581	10194
94	1599	10187
95	1617	10176
96	1628	10121
97	1645	10108
98	1665	10111
99	1680	10084
100	1694	10048
101	1711	10033
102	1727	10014
103	1741	9980
104	1755	9948
105	1776	9956
106	1789	9919
107	1805	9896
108	1824	9892
109	1840	9871
110	1859	9868
111	1879	9867
112	1896	9849
113	1903	9783
114	1920	9767
115	1934	9741
116	1954	9739
117	1972	9727
118	1983	9686
119	1999	9663
120	2009	9616
121	2016	9553
122	2034	9544
123	2052	9535
124	2073	9535
125	2088	9514
126	2106	9502
127	2128	9513
128	2135	9451
129	2152	9436
130	2171	9433
131	2191	9428
132	2204	9400
133	2219	9372
134	2238	9368
135	2254	9351
136	2274	9346
137	2295	9346
138	2302	9291
139	2319	9277
140	2328	9229
141	2346	9222
142	2363	9206
143	2370	9152
144	2383	9124
145	2398	9100
146	2412	9077
147	2423	9040
148	2441	9030
149	2456	9008
150	2462	8954
151	2481	8947
152	2488	8895
153	2493	8839
154	2508	8818
155	2519	8787
156	2521	8721
157	2523	8658
158	2541	8648
159	2562	8648
160	2587	8664
161	2606	8656
162	2630	8665
163	2648	8657
164	2669	8656
165	2693	8665
166	2697	8608
167	2710	8582
168	2729	8575
169	2750	8574
170	2758	8534
171	2763	8484
172	2785	8485
173	2803	8474
174	2809	8428
175	2821	8400
176	2830	8364
177	2841	8334
178	2859	8321
179	2881	8324
180	2891	8289
181	2911	8287
182	2931	8282
183	2948	8269
184	2966	8257
185	2988	8259
186	3004	8243
187	3016	8214
188	3036	8208
189	3045	8173
190	3061	8159
191	3067	8116
192	3088	8113
193	3109	8110
194	3114	8067
195	3131	8052
196	3156	8059
197	3173	8045
198	3192	8038
199	3208	8021
200	3225	8008
201	3243	7995
202	3250	7959
203	3256	7917
204	3261	7874
205	3272	7846
206	3274	7798
207	3288	7778
208	3304	7762
209	3322	7752
